pressure_pa,alt_raw_m,alt_med,alt_smooth,alt_sg,alt_clean,time_s,vel_raw_mps,vel_clean_mps
101327.401,0.0,0.0,0.0,0.0023792408512258102,0.0023792408512258102,0,0.0,-0.0023792408512258124
101327.401,0.0,0.0,0.0,-2.168404344971009e-18,-2.168404344971009e-18,1,0.04996476246935751,-0.004758481702451622
101326.2005,0.09992952493871501,0.0,0.0,-0.007137722553677435,-0.007137722553677435,2,-0.1498900599226659,-0.009516963404903246
101331.0025,-0.2997801198453318,0.0,-0.019985623150296804,-0.019033926809806496,-0.019033926809806496,3,-0.04996476246935751,-0.014513382612933237
101327.401,0.0,0.0,-0.03997124630059361,-0.03616448777954391,-0.03616448777954391,4,0.0999260020469239,-0.020937326201015037
101328.6015,-0.09992811575148401,-0.09992811575148401,-0.059956869450890404,-0.06090857921183657,-0.06090857921183657,5,0.0,-0.02521989934117047
101327.401,0.0,-0.09992811575148401,-0.07994249260118722,-0.08660428646188485,-0.08660428646188485,6,0.0,-0.026171508448698193
101328.6015,-0.09992811575148401,-0.09992811575148401,-0.11991345707220935,-0.11325159610923295,-0.11325159610923295,7,-0.09992741117755533,-0.02521975171582872
101329.802,-0.19985482235511065,-0.09992811575148401,-0.13989879839293468,-0.1370437898935423,-0.1370437898935423,8,-0.04996335330181332,-0.025695485812691897
101329.802,-0.19985482235511065,-0.19985482235511065,-0.15988413971366,-0.16464256773461675,-0.16464256773461675,9,0.04996335330181332,-0.02521953028011291
101328.6015,-0.09992811575148401,-0.19985482235511065,-0.17986948103438533,-0.1874828504537681,-0.1874828504537681,10,-0.04996264874511058,-0.021412765049491495
101331.0025,-0.2997801198453318,-0.19985482235511065,-0.2198398818531549,-0.20746809783359974,-0.20746809783359974,11,-0.0999260020469239,-0.016178522409757312
101331.0025,-0.2997801198453318,-0.19985482235511065,-0.2198398818531549,-0.21983989527328274,-0.21983989527328274,12,0.04996264874511058,-0.009040913929625943
101329.802,-0.19985482235511065,-0.2997801198453318,-0.2198398818531549,-0.22554992569285162,-0.22554992569285162,13,0.0999260020469239,0.0014275109599241331
101328.6015,-0.09992811575148401,-0.19985482235511065,-0.2198398818531549,-0.21698487335343447,-0.21698487335343447,14,-0.04996264874511058,0.006661699919475753
101331.0025,-0.2997801198453318,-0.19985482235511065,-0.2198398818531549,-0.21222652585390012,-0.21222652585390012,15,-0.04996335330181332,0.002379173749767177
101329.802,-0.19985482235511065,-0.19985482235511065,-0.19985482235511065,-0.21222652585390012,-0.21222652585390012,16,0.0999260020469239,-0.0038066779996274724
101328.6015,-0.09992811575148401,-0.19985482235511065,-0.2198398818531549,-0.21983988185315506,-0.21983988185315506,17,0.0,-0.011895868748835858
101329.802,-0.19985482235511065,-0.19985482235511065,-0.2398249413511991,-0.23601826335157183,-0.23601826335157183,18,-0.0999260020469239,-0.0209367289979511
101331.0025,-0.2997801198453318,-0.2997801198453318,-0.2598100008492433,-0.26171333984905726,-0.26171333984905726,19,-0.04996264874511058,-0.02236423324781142
101331.0025,-0.2997801198453318,-0.2997801198453318,-0.27979506034728757,-0.2807467298471947,-0.2807467298471947,20,0.0,-0.01808173391835821
